user,bookNFT,outstanding_raw,outstanding_like,inflated
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x0d9daD7d5BA162c98260398B5494cC133292b5Ad,12020699147326279594,12020699147326.279594,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,11238500327029861086,11238500327029.861086,true
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,11238500327000000000,11238500327000.0,true
0xe584099C39d0eaE355C6b0F003767DD53dFb8F6a,0x8EcBaA55E85429D968129207fad35f0d049424CA,11195385549116499592,11195385549116.499592,true
0xfb0757A4A21a849ae6142341736976B3c86F00ab,0x6DC830BCe79D7d6F6db60d0bFAE8389192Bbf630,11086748667435570320,11086748667435.57032,true
0x66AD8D3E0db87Ae882C1788e2cda9e31cDB4F013,0x51D9A55CeeA0fc14BD8DbA60af5284F0e17fC936,9981039734275440752,9981039734275.440752,true
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,9646315344869987322,9646315344869.987322,true
0x6ba3525B364445F4ed3244ff0a151c8bAea934cA,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,9550807272599868101,9550807272599.868101,true
0x6ba3525B364445F4ed3244ff0a151c8bAea934cA,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,8299683861409149745,8299683861409.149745,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,8299683861191206014,8299683861191.206014,true
0x0686BcD9e5A94d9f0b29EA7Ce1887d8B2dA21e86,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,8299683861129423889,8299683861129.423889,true
0x66AD8D3E0db87Ae882C1788e2cda9e31cDB4F013,0xd9Cd6de785C3b8F1939a8DD509019177B7D41a0E,8107362384209238476,8107362384209.238476,true
0x662A79fBc9ae681d7cD19A7275Aa8b3187CcA622,0xAB976072B6Be23De212437d8f42375D5131daFb9,6560829232894057887,6560829232894.057887,true
0x63252957c9f9a6E7D4558Fd7cC64Be55E8d38A81,0xdDBa03e8e8459d4afD9ac6eA226209b7E56d5AF1,6006901898982543693,6006901898982.543693,true
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0x8EcBaA55E85429D968129207fad35f0d049424CA,5709646630049414792,5709646630049.414792,true
0x874C506D93e1bc08d735730A2e20beD16CE5bDB9,0x8EcBaA55E85429D968129207fad35f0d049424CA,5597692774558249796,5597692774558.249796,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x51D9A55CeeA0fc14BD8DbA60af5284F0e17fC936,4990519868682126496,4990519868682.126496,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,4947955739555968459,4947955739555.968459,true
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,4947955739387823801,4947955739387.823801,true
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,4947955739000000000,4947955739000.0,true
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,4947955739000000000,4947955739000.0,true
0x12cF06fC70CbcBfD9E8e1676029f7189053Ac981,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,4775403636211621891,4775403636211.621891,true
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,4359652086372000000,4359652086372.0,true
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,4350950186000000000,4350950186000.0,true
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,4245524288178607673,4245524288178.607673,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0xd9Cd6de785C3b8F1939a8DD509019177B7D41a0E,4053681192838925936,4053681192838.925936,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x93bec61F64227EeBBD0bB14E1AeCE56D63B9e0F7,4027828625389897249,4027828625389.897249,true
0x880d1303B47CF2ca05FF0cd62543Dc2752BF8B37,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,3863643765814099931,3863643765814.099931,true
0x5b2Eb37B05CB28DbCE6D83Ec25071860Bc6B36CC,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,3477470785819817490,3477470785819.81749,true
0x8450451c0ADE41470d7D376f72fd2e8e59d6af9d,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,3477470785808957962,3477470785808.957962,true
0x3d3e5223330a00C76027852E5272f208e0e17031,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,3477470785808957962,3477470785808.957962,true
0x1BB6c8Cb55a4AbD964e53614d60eBA9E2aB3059D,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,3477470785808957962,3477470785808.957962,true
0xD5013D3802F2B870209058e0Ff105Bf97F8B822D,0x22263b9c327817dF2B11d64dfeC2b4A754fE4457,2598804224816580820,2598804224816.58082,true
0x21fedf67De7a7dd7b01B83536d333D3b35A28c6D,0x22263b9c327817dF2B11d64dfeC2b4A754fE4457,2598804224812264492,2598804224812.264492,true
0xB2206f941A5206B55BFA33E665687523A8bcEd80,0x6f7D621827d817B80C07a644a0A75579444BE530,2445219252148083469,2445219252148.083469,true
0xC6473A964F160B24576946d5c616caDE88B0465C,0x8EcBaA55E85429D968129207fad35f0d049424CA,2373421736388000000,2373421736388.0,true
0xf991Da2020B7D9613036792889D3B5384cAbBFCa,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,2337608068022211106,2337608068022.211106,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x6d4f3EB092a8312a52104B8786Cf5D6305261D07,2273744985055356764,2273744985055.356764,true
0x66AD8D3E0db87Ae882C1788e2cda9e31cDB4F013,0x5668ae4acDdE1E4143ae8229AF951CEa386a94c9,2234725463027100175,2234725463027.100175,true
0x874C506D93e1bc08d735730A2e20beD16CE5bDB9,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,2175475093164641313,2175475093164.641313,true
0x66AD8D3E0db87Ae882C1788e2cda9e31cDB4F013,0x34091a775D8aC20C402f352BAEBa2CD7E268856d,2089003817689215804,2089003817689.215804,true
0x39c8B49Ca48d266785A01cc2141Eb936c2f11028,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,1986567912656780083,1986567912656.780083,true
0x4Ac887471A53186Fc07877b9aB7ac1c639fEe9E6,0xa750Ef555fC0368987974b34e058200a81BEd78d,1938115704212109591,1938115704212.109591,true
0xdaBD93cEcd32b0474D0f798be56ac0888B9edC6B,0xa750Ef555fC0368987974b34e058200a81BEd78d,1916682877109551310,1916682877109.55131,true
0xadF8936D5Fd9DFC6438c982714681a1B3d5a83c2,0xa750Ef555fC0368987974b34e058200a81BEd78d,1916682877100000000,1916682877100.0,true
0x23AD30B8f1d8bA2f3cE3abEAbd9666b9add798d6,0x991739959726cb96f1caFF52c968f4f2912795Ff,1125995474000000000,1125995474000.0,true
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,1123850032702986108,1123850032702.986108,true
0x2696cBF8Ef06175cd2DDb80b928f7A8E81De1e3e,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,1123850032700000000,1123850032700.0,true
0xb903F6B23A14707Eb4D0FB4E31C4c4e28EDbB8e7,0x8EcBaA55E85429D968129207fad35f0d049424CA,1119538554923705360,1119538554923.70536,true
0x955DA9462C4960Cf9aEd82B111c12FB13704e09a,0x8EcBaA55E85429D968129207fad35f0d049424CA,1119538554911649959,1119538554911.649959,true
0xE0B429Fd64880A49DF7e488722e676d51D13Ed34,0x8EcBaA55E85429D968129207fad35f0d049424CA,1119538554911649959,1119538554911.649959,true
0x1d1F6bEbaB8A03a09fd2E28A2D152a912d4D87c9,0x8EcBaA55E85429D968129207fad35f0d049424CA,1119538554911649959,1119538554911.649959,true
0x342Fd1B0d75966f88870cBbAD9CAf4AFa04998E6,0x8EcBaA55E85429D968129207fad35f0d049424CA,1119538554900000000,1119538554900.0,true
0x874C506D93e1bc08d735730A2e20beD16CE5bDB9,0x6DC830BCe79D7d6F6db60d0bFAE8389192Bbf630,1108674866741848124,1108674866741.848124,true
0x02e74F3b930f8443DE58e9D3Bd57fc6b1612e627,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,955080727200000000,955080727200.0,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xAB976072B6Be23De212437d8f42375D5131daFb9,810262410262416149,810262410262.416149,true
0xF0177457dD06f99fA1973aDA68903DdF3B6De2BD,0x93bec61F64227EeBBD0bB14E1AeCE56D63B9e0F7,805565725028869086,805565725028.869086,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x21E66DBd47d6376242956DaA7348682EBAd79D3B,726883653775379742,726883653775.379742,true
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x22263b9c327817dF2B11d64dfeC2b4A754fE4457,649701056200307931,649701056200.307931,true
0x5b2Eb37B05CB28DbCE6D83Ec25071860Bc6B36CC,0x991739959726cb96f1caFF52c968f4f2912795Ff,562997737001049583,562997737001.049583,true
0x02e74F3b930f8443DE58e9D3Bd57fc6b1612e627,0x6d4f3EB092a8312a52104B8786Cf5D6305261D07,454748996800000000,454748996800.0,true
0xA3920714f9fDf92eCa5e112017Ab1D31cFcb8588,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,435095018632928262,435095018632.928262,true
0xDc7cd28a98E780711D72CC0a7AB484B3ccF89910,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,347747078581981749,347747078581.981749,true
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,334278254522027213,334278254522.027213,true
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x8EcBaA55E85429D968129207fad35f0d049424CA,279884638725000000,279884638725.0,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x6f7D621827d817B80C07a644a0A75579444BE530,244521926200600678,244521926200.600678,true
0x625B192B5019bcA08F4C312ba4319203e5e07e94,0x8EcBaA55E85429D968129207fad35f0d049424CA,223907710980000000,223907710980.0,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x5668ae4acDdE1E4143ae8229AF951CEa386a94c9,223472546302710017,223472546302.710017,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x34091a775D8aC20C402f352BAEBa2CD7E268856d,208900381994720364,208900381994.720364,true
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,207492096527680387,207492096527.680387,true
0xf28bAAD89cdFb9CAEDA0cA7bB4A978ADBD432ed5,0xa750Ef555fC0368987974b34e058200a81BEd78d,191668287715869858,191668287715.869858,true
0x6f72fAa82c120ca06E25d01D7123EfF09257fcD3,0x21E66DBd47d6376242956DaA7348682EBAd79D3B,145376730648427152,145376730648.427152,true
0x3FfC07ED6a65E379E39Bef93e713ee3Ff77a56e4,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,112385003974414223,112385003974.414223,true
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,112385003270298610,112385003270.29861,true
0x9d22F2058b4EA321dE701c75fB907d806e5922BA,0x8EcBaA55E85429D968129207fad35f0d049424CA,111953855492370536,111953855492.370536,true
0x6bc21A147962a8399C82D50445a8B479e7817335,0x8EcBaA55E85429D968129207fad35f0d049424CA,111953855491164995,111953855491.164995,true
0x24cD9d885Fe462354E74BdC5361E0886441875DC,0x8EcBaA55E85429D968129207fad35f0d049424CA,111953855491164995,111953855491.164995,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,104324123574175897,104324123574.175897,true
0x24cD9d885Fe462354E74BdC5361E0886441875DC,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,82996838611912060,82996838611.91206,true
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,82996838611912060,82996838611.91206,true
0x625B192B5019bcA08F4C312ba4319203e5e07e94,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,82996838610828781,82996838610.828781,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x22263b9c327817dF2B11d64dfeC2b4A754fE4457,77964126744367934,77964126744.367934,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x2fa5F63792Ea0f3501C842417eF8E61F41c5E60f,72360262740356301,72360262740.356301,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x0d9daD7d5BA162c98260398B5494cC133292b5Ad,72124194882319750,72124194882.31975,true
0x9ec2660D482F5aE9CdC6835Af0A4f604701A93e5,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,71288151108980734,71288151108.980734,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xa750Ef555fC0368987974b34e058200a81BEd78d,57500486313000000,57500486313.0,true
