owner,bookNFT,tokenId,stakedAmount,claimable_raw,owed_raw,owed_like
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x334C13ABf78D5d29DDd32fca627179a5059B5814,796,3000000,262888,261606,0.261606
0xe584099C39d0eaE355C6b0F003767DD53dFb8F6a,0x334C13ABf78D5d29DDd32fca627179a5059B5814,818,1000000000,87629489,87202229,87.202229
0x874C506D93e1bc08d735730A2e20beD16CE5bDB9,0x334C13ABf78D5d29DDd32fca627179a5059B5814,878,500000000,43814744,43601114,43.601114
0x9d22F2058b4EA321dE701c75fB907d806e5922BA,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,4,10000000,927682,926245,0.926245
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,35,100000000,1299985,1297972,1.297972
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,65,105000000,1364984,1362870,1.36287
0xac770FE814f733a7c74F3698e9ff49b0AcEFDa75,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,107,22448489350,378246862,377661271,377.661271
0x47e6c59d1AA905Eb1e847c91E1248a35b8AC3ab4,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,166,300000000,5054863,5047037,5.047037
0xC6473A964F160B24576946d5c616caDE88B0465C,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,274,100000000,448025,447331,0.447331
0x24cD9d885Fe462354E74BdC5361E0886441875DC,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,282,10000000,560756,559887,0.559887
0x3c5A725f73F9426A19c9258F85B7b60b3D8125A9,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,341,100000000,5607569,5598887,5.598887
0x625B192B5019bcA08F4C312ba4319203e5e07e94,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,378,10000000,44802,44732,0.044732
0x22ec2A291BaE09B5615C52B193D32DBD56385C30,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,403,100000000,5607569,5598887,5.598887
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,418,10000000,560756,559887,0.559887
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,543,25000000,324996,324492,0.324492
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,756,3000000,50548,50469,0.050469
0xe584099C39d0eaE355C6b0F003767DD53dFb8F6a,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,819,1000000000,12999856,12979729,12.979729
0xd3448A4843981BaEB66459Faab20cB6e669419F4,0xd984aBfe4F9dcdbee653bF9d1247EDD0e2102C51,1072,1000000,14450,14427,0.014427
0x3FfC07ED6a65E379E39Bef93e713ee3Ff77a56e4,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,5,10000000,112385003974414223,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,18,5500000000,61811751798664235977,0,0.0
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,23,2419971624,27196851887654721048,0,0.0
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,80,100000000,1123850032702986108,0,0.0
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,82,1000000000,11238500327000000000,0,0.0
0xf991Da2020B7D9613036792889D3B5384cAbBFCa,0x5aDCb8a737e4AaABf7Ff6b656Acd5dc60E983757,518,208000000,2337608068022211106,0,0.0
